cell,serum,mean,std,count
LNCaP,after,2.242,0.6056364879658057,10
LNCaP,before,2.8600000000000003,0.35137823874945184,10
NIH3T3,after,2.448,0.686242587492855,10
NIH3T3,before,2.617,0.6690299777372545,10
